"Death","Exposure","Size"
"1",0,116291,"Mid"
"2",7,216674,"Mid"
"3",8,101114,"Mid"
"4",19,2758908,"Mid"
"5",20,112225,"Mid"
"6",28,357008,"Mid"
"7",29,294261,"Mid"
"8",32,641184,"Mid"
"9",34,280780,"Mid"
"10",35,1026466,"Mid"
"11",41,1042795,"Mid"
"12",44,537497,"Mid"
"13",54,222880,"Mid"
"14",20,154873,"Large"
"15",35,468830,"Large"
"16",37,145206,"Large"
"17",43,153002,"Large"
"18",4,193425,"Vlarge"
"19",57,120360,"Vlarge"
"20",16,622139,"Small"
"21",32,1114543,"Small"
"22",42,171570,"Small"
"23",46,190081,"Small"
"24",49,1954222,"Small"
"25",70,410771,"Small"
"26",71,556730,"Small"
"27",130,276648,"Small"
"28",99,296315,"Mini"
"29",120,273617,"Mini"
"30",149,258137,"Mini"
