Size,Death,Mv_death,Sv_death,Rollover_death,Exposure 
Subaru Legacy 4WD,0,0,0,0,116291
Acura TSX,7,7,0,0,216674
Volkswagen CC,8,0,8,0,101114
Honda Accord,19,12,7,2,2758908
Volkswagen Jetta,20,20,0,0,112225
Nissan Maxima,28,18,10,2,357008
Toyota Camry hybrid,29,19,10,3,294261
Ford Fusion 2WD,32,19,14,10,641184
Hyundai Sonata,34,11,25,3,280780
Toyota Camry,35,22,12,4,1026466
Chevrolet Malibu,41,26,16,6,1042795
Nissan Altima,44,35,7,3,537497
Mazda 6,54,34,17,3,222880
Ford Taurus 2WD,20,10,10,0,154873
Chevrolet Impala,35,27,8,2,468830
Toyota Avalon,37,22,15,5,145206
Buick Lacrosse 2WD,43,21,25,0,153002
